media,template_id,display_name,backend_value,type,preview_image_url
Poplitik,poplitik_breaking,Breaking News,poplitik breaking news,Image,SUDAH ADA
Poplitik,poplitik_cover,Cover Carousel,poplitik cover carousel,Image,SUDAH ADA
Poplitik,poplitik_breaking_circle,Breaking News (with circle),poplitik breaking news with circle,Image,SUDAH ADA
Raga Plus ID,raga_article_standard,Standard Article,raga article standard,Article,
Raga Plus ID,raga_cover_white,Cover Carousel (white),raga cover carousel (putih),Image,
Raga Plus ID,raga_cover_black,Cover Carousel (black),raga cover carousel (hitam),Image,
Raga Plus ID,raga_cover_white_circle_ka,Cover (white) + circle kanan atas,raga cover carousel (putih) with circle kanan atas,Image,
Raga Plus ID,raga_cover_white_circle_kb,Cover (white) + circle kiri bawah,raga cover carousel (putih) with circle kiri bawah,Image,
Raga Plus ID,raga_cover_black_circle_kia,Cover (black) + circle kiri atas,raga cover carousel (hitam) with circle kiri atas,Image,
Raga Plus ID,raga_cover_black_circle_kab,Cover (black) + circle kanan bawah,raga cover carousel (hitam) with circle kanan bawah,Image,
Raga Plus ID,raga_slide_white,Slide Carousel (white),raga slide carousel (putih),Image,
Raga Plus ID,raga_slide_black,Slide Carousel (black),raga slide carousel (hitam),Image,
Raga Plus ID,raga_slide_white_circle,Slide (white) + circle,raga slide carousel (putih) with circle,Image,
Raga Plus ID,raga_slide_black_circle,Slide (black) + circle,raga slide carousel (hitam) with circle,Image,
Raga Plus ID,raga_repurpose_landscape,Repurpose (landscape),raga video repurpose landscape,Video,
Raga Plus ID,raga_repurpose_portrait,Repurpose (portrait),raga video repurpose portrait,Video,
Raga Plus ID,raga_repurpose_square,Repurpose (square),raga video repurpose square,Video,
Raga Plus ID,raga_moment,Moment (1 image),raga moment 1 gambar,Image,
Raga Plus ID,raga_football,Football Result,raga football result,Image,
Raga Plus ID,raga_badminton,Badminton Result,raga badmin result,Image,
Red Talks ID,rt_cover,Cover Carousel,rt image article / cover,Image,
Red Talks ID,rt_cover_circle_kanan,Cover + circle kanan,rt image article with circle kanan,Image,
Red Talks ID,rt_cover_circle_kiri,Cover + circle kiri,rt image article with circle kiri,Image,
Red Talks ID,rt_slide,Slide Carousel,rt slide carousel,Image,
Red Talks ID,rt_slide_circle,Slide + circle,rt carousel with circle,Image,
Red Talks ID,rt_repurpose_square,Repurpose (square),rt video repurpose square,Video,
Red Talks ID,rt_moment,Moment (1 image),rt moment 1 gambar,Image,
Red Talks ID,rt_football,Football Result,rt result,Image,
Kultur AI,kultur_cover_image,Cover (image),kultur cover image,Image,
